1;The Witcher 3;img\The-Witcher-3.jpeg;RPG de mundo aberto com uma história épica.;99.90;RPG
2;Minecraft;img\Minecraft.jpeg;Crie, explore e sobreviva em mundos infinitos.;79.90;Sandbox
3;God of War;img\GOW.jpeg;Kratos enfrenta deuses nórdicos em batalhas épicas.;119.90;Ação
4;GTA V;img\GTA-V.jpeg;Jogo de ação em mundo aberto na cidade de Los Santos.;89.90;Ação
5;Red Dead Redemption 2;img\RDR-2.jpeg;Explore o velho oeste americano em uma aventura cinematográfica.;129.90;Aventura
6;Horizon Zero Dawn;img\HZD.jpeg;Uma caçadora enfrenta máquinas em um futuro pós-apocalíptico.;99.90;Aventura
7;EA SPORTS FC™ 25;img\Fifa25.jpeg;Simulação de futebol com gráficos e mecânicas realistas.;299.90;Esporte
8;Assassin's Creed Valhalla;img\ACV.jpeg;Seja um guerreiro viking em batalhas históricas épicas.;139.90;Ação
9;Elden Ring;img\Elden-Ring.jpeg;RPG desafiador em um mundo vasto criado por George R. R. Martin.;249.90;RPG
10;Call of Duty: Modern Warfare II;img\COD-MW2.jpeg;FPS intenso com modos multiplayer e campanha.;279.90;Tiro
11;Cyberpunk 2077;img\Cyberpunk-2077.jpeg;Explore a cidade futurista de Night City.;119.90;RPG
12;Fortnite;img\Fortnite.jpeg;Battle Royale gratuito com construções e ação frenética.;0.00;Battle Royale
13;League of Legends;img\LOL.jpeg;MOBA estratégico com centenas de campeões.;0.00;MOBA
14;Valorant;img\Vava.jpeg;FPS tático focado em habilidades e trabalho em equipe.;0.00;Tiro
15;Among Us;img\Amogus.jpeg;Descubra o impostor entre a tripulação.;19.90;Party Game
16;Overwatch 2;img\OverGAY.jpeg;Jogo de tiro em equipe com heróis variados.;0.00;Tiro
17;Resident Evil 4 Remake;img\RE4-remake.jpeg;Reimaginação de um clássico do survival horror.;249.90;Terror
18;The Last of Us Part II;img\TLOU-2.jpeg;História intensa e emocional em um mundo pós-apocalíptico.;149.90;Ação
19;Super Mario Odyssey;img\SMO.png;Explore reinos mágicos com Mario em sua nova aventura.;199.90;Plataforma
20;Animal Crossing: New Horizons;img\AnimalCrossing-NH.jpeg;Construa sua ilha dos sonhos com personagens fofos.;249.90;Simulação
